,code,Mean-Peak,Mean-SD,SD-X,SD-Y,Mean-X,Mean-y
204,"[63, 46]",20.848559,1.718976,0.025817,0.042875,1508.052058,1059.670845
205,"[80, 70, 57]",15.660090,4.951115,0.163230,0.077163,1879.582968,1638.089080
206,"[46, 74, 67]",19.021715,3.675388,0.078371,0.029602,47.189864,1170.098492
207,"[63, 47, 57]",14.979519,6.005731,0.040306,0.087249,282.778845,1985.345030
208,"[72, 52, 60]",14.953073,5.810564,0.114855,0.046959,198.248873,1704.622880
209,"[72, 64, 54]",10.735697,8.863516,0.305308,0.062676,1593.523120,204.048708
210,"[60, 78]",12.171726,10.326247,0.181519,0.350680,868.802859,1357.696791
211,"[74, 58, 67]",18.702651,3.999859,0.028929,0.079160,1360.925669,281.136483
212,"[64, 75]",20.011097,2.418507,0.028407,0.052260,1600.428701,282.146487
213,"[55, 53, 78]",11.251802,8.353551,0.361405,0.090281,1593.526053,96.174837
214,"[55, 78]",12.368887,10.046347,0.288999,0.066070,1593.719616,96.226026
215,"[65, 76]",18.029092,4.350761,0.168298,0.098972,934.494966,939.756003
216,"[72, 63]",13.692183,8.667066,0.237104,0.123181,1225.046149,463.024433
217,"[47, 63, 57, 79]",15.975595,4.115173,0.134553,0.084817,1556.700096,1288.369474
218,"[69, 46]",15.627368,6.701587,0.206661,0.402840,469.835076,1460.654877
219,"[47, 56, 76, 70]",11.178439,6.433100,0.242706,0.127791,1661.095566,1628.173424
220,"[58, 74, 46, 67]",16.241279,5.263780,0.248050,0.137410,785.341833,1180.894540
221,"[58, 74]",21.469790,0.817242,0.080161,0.040011,785.476207,1180.981479
222,"[61, 79, 71, 53]",14.471049,5.538054,0.086962,0.170829,1906.938516,1439.522396
223,"[61, 79, 53]",14.771246,6.366546,0.061973,0.171809,1906.978022,1439.473940
224,"[66, 77]",18.541531,3.718095,0.120260,0.034264,845.587136,915.830792
225,"[72, 60, 71]",13.180832,7.993015,0.156588,0.082968,84.958289,1317.388340
226,"[66, 78, 50]",12.882196,8.049283,0.102650,0.110029,181.248606,105.483910
227,"[75, 71]",20.560893,1.571153,0.044771,0.066520,382.959362,1719.962163
228,"[79, 61]",17.877178,4.206967,0.013103,0.120470,1097.772582,1898.491788
229,"[58, 74]",21.588791,0.409117,0.034400,0.006110,2019.835527,344.576674
230,"[61, 48]",12.504401,9.491875,0.337338,0.083424,1112.212615,950.834193
231,"[63, 79]",16.919504,5.059696,0.115891,0.043352,120.249837,1003.283492
232,"[73, 48]",11.818544,10.155176,0.029156,0.169440,1177.688083,1132.820182
233,"[73, 48]",11.818544,10.155176,0.029156,0.169440,1177.688083,1132.820182
234,"[46, 58, 74]",8.518401,9.521044,0.371386,0.185794,1206.496416,959.325260
235,"[70, 72, 55]",18.460268,3.165022,0.098198,0.121854,1446.775260,182.014417
236,"[61, 71, 76]",14.137534,7.733589,0.164253,0.160462,648.135939,1349.075558
237,"[61, 80]",14.121619,7.801733,0.095764,0.286903,115.306328,1002.193396
238,"[58, 72, 46, 68]",14.657325,7.888863,0.138577,0.180813,742.090700,1581.320219
239,"[70, 79, 56]",16.870046,5.392624,0.169443,0.076607,314.272994,1969.049632
240,"[80, 57]",17.357642,4.458427,0.077465,0.241440,66.284958,242.070010
241,"[70, 72, 45]",16.961423,5.812037,0.047268,0.042086,1368.949210,948.989460
242,"[61, 63, 76]",16.355620,5.859069,0.043516,0.078369,1191.926307,1019.356880
243,"[79, 65, 61]",14.374890,6.073041,0.243198,0.092023,140.073764,100.211154
244,"[58, 46, 74]",16.183881,4.155819,0.124018,0.156045,347.997756,124.295186
245,"[72, 60]",16.214920,5.498012,0.242998,0.120638,933.255545,1816.175737
246,"[61, 76, 63]",12.460140,8.480770,0.368460,0.087803,463.263043,89.087641
247,"[79, 61]",19.484472,2.206842,0.029564,0.007333,402.948055,542.317780
248,"[75, 58]",16.611353,5.077259,0.139090,0.260006,163.343591,1096.051125
249,"[64, 77, 62]",12.624576,6.406319,0.067617,0.136211,172.327188,1073.265608
250,"[64, 77]",14.908444,6.775929,0.005806,0.109202,172.279493,1073.338421
251,"[46, 58]",19.993061,1.667818,0.024660,0.138737,789.675298,945.010602
252,"[56, 77]",14.035896,7.601507,0.219053,0.024434,226.050471,1190.058847
253,"[55, 46, 68, 72]",13.227526,5.091837,0.173019,0.041725,1829.679460,1682.845611
254,"[70, 59]",11.557807,10.065825,0.164535,0.033799,1221.205831,1315.802421
255,"[63, 56, 80]",16.764337,3.431084,0.079782,0.065090,1476.701165,1022.534937
256,"[72, 53]",11.697647,9.901819,0.163556,0.044926,929.904700,1258.989882
257,"[58, 74, 67, 46]",15.033571,5.110704,0.080783,0.054396,928.413257,560.255834
258,"[74, 67]",16.652604,4.917218,0.080493,0.007067,2000.550633,1158.366504
259,"[78, 70, 61]",14.196289,5.239407,0.097695,0.092939,865.236792,2003.299250
260,"[55, 73]",12.771316,8.793881,0.058693,0.345607,852.447244,988.625802
261,"[66, 72]",14.760260,6.769393,0.089574,0.233943,740.881525,106.399008
262,"[71, 61, 79]",18.359464,3.300804,0.041001,0.130265,1798.563640,1842.600069
263,"[75, 71, 57, 53]",11.905447,6.381047,0.201952,0.115821,783.454629,1013.921384
264,"[64, 79, 57]",14.954458,4.763056,0.082574,0.049501,841.900544,1155.713546
265,"[46, 55, 68]",14.396909,5.566984,0.101875,0.104342,1492.239698,1225.299279
266,"[63, 80]",13.820046,7.604203,0.066687,0.011364,942.159723,653.733577
267,"[74, 58, 46, 67]",14.918503,4.945364,0.084194,0.057115,1457.088192,1018.109528
268,"[47, 61]",15.553590,5.860331,0.090946,0.027225,722.077841,1388.885592
269,"[46, 58]",12.827354,8.583747,0.406526,0.214127,1990.708017,470.748133
270,"[56, 69]",15.446824,5.935927,0.023618,0.151578,1613.216832,1592.655021
271,"[76, 64, 46]",19.793850,1.523879,0.131978,0.066154,596.768198,1883.896445
272,"[58, 74, 67]",16.496543,4.508670,0.150131,0.062753,1406.476027,1383.484195
273,"[58, 74]",16.432857,4.890712,0.074098,0.225770,659.470523,1621.899873
274,"[61, 71]",19.751216,1.549704,0.072389,0.033811,929.665468,1919.809121
275,"[61, 71]",19.751216,1.549704,0.072389,0.033811,929.665468,1919.809121
276,"[58, 46, 74, 67]",18.421750,1.786573,0.148974,0.088766,1949.180369,2025.975163
277,"[58, 75]",13.016770,8.265143,0.090573,0.087837,631.728449,1619.695059
278,"[72, 64]",19.233110,2.020081,0.100052,0.028933,449.478668,1567.818841
279,"[76, 61, 65]",13.283005,6.459981,0.026458,0.098535,879.083276,888.036454
280,"[47, 63, 57]",13.470272,5.577541,0.081365,0.032624,44.663007,142.262800
281,"[47, 57]",14.735219,6.470176,0.067840,0.002524,44.705150,142.239777
282,"[61, 76]",16.665665,4.539428,0.012470,0.073214,390.672973,1773.240970
283,"[61, 76]",16.665665,4.539428,0.012470,0.073214,390.672973,1773.240970
284,"[65, 76]",16.886974,4.313627,0.081811,0.098259,701.779403,1520.957374
285,"[65, 78]",17.822246,3.364963,0.042753,0.003949,1113.464372,457.068706
286,"[71, 62, 73]",9.345041,8.571647,0.108487,0.210738,702.579746,258.721689
287,"[56, 77]",20.347451,0.826125,0.009944,0.124982,429.631302,1552.446459
288,"[79, 71, 46]",12.925098,7.040255,0.251572,0.163075,600.910117,642.152098
289,"[72, 70, 55, 53]",14.588043,5.548547,0.101606,0.046586,24.880048,1147.224761
290,"[63, 61, 77]",12.469332,8.168230,0.121316,0.105924,1269.835270,359.883450
291,"[79, 71, 53]",15.845339,8.659901,0.247864,0.176617,831.034137,1121.512963
292,"[71, 53, 72]",8.869137,8.662747,0.607998,0.236469,1473.868687,1413.679710
293,"[57, 80, 66, 50]",10.660461,7.948646,0.210204,0.311258,102.582131,1229.802358
294,"[66, 59, 53]",11.055348,8.088102,0.275291,0.037414,100.045233,1215.392385
295,"[72, 65, 52]",12.382646,8.081899,0.112765,0.192660,1844.929900,1401.171826
296,"[58, 67]",16.896275,4.156239,0.128447,0.138166,1559.379489,46.236140
297,"[65, 77]",14.189481,6.844585,0.132418,0.028919,1884.118762,1583.007679
298,"[72, 68, 46]",16.488625,3.419288,0.135190,0.096514,1929.071234,1686.062796
299,"[76, 49]",12.074222,8.944855,0.012539,0.147601,410.895544,599.081329
300,"[58, 65, 74]",13.486963,5.333700,0.133420,0.038131,1814.886936,1788.860501
301,"[65, 61, 77]",13.853491,6.748051,0.088036,0.105007,464.791951,1564.876036
302,"[72, 68]",11.527361,9.423174,0.106113,0.182832,742.057494,1581.294014
303,"[61, 63, 76]",19.010092,1.447030,0.103711,0.144534,73.377556,1029.738123
304,"[61, 63, 75]",13.837394,8.465048,0.379498,0.229070,73.181986,1029.676497
305,"[71, 51, 78]",11.968183,6.344381,0.069104,0.257760,402.542598,1694.383423
306,"[71, 76, 61]",16.163322,3.532998,0.108865,0.020898,1272.553070,387.902304
307,"[57, 79, 63]",14.162675,4.887142,0.114861,0.140422,173.057500,997.366297
308,"[47, 57]",13.062420,7.854356,0.083615,0.036249,960.763528,908.090389
309,"[58, 74, 46]",13.103248,5.955401,0.125632,0.126998,1478.307716,1027.068539
310,"[46, 67, 56, 74]",9.178990,7.265066,0.228012,0.022439,956.918339,730.386469
311,"[55, 53]",15.849083,4.980279,0.059957,0.021379,1750.555817,414.348828
312,"[63, 48]",13.748431,7.065373,0.203540,0.027279,904.697550,1244.424545
313,"[58, 74, 67]",16.796894,3.506195,0.071109,0.117027,177.195856,1198.966699
314,"[58, 46, 72, 66]",14.179310,5.046129,0.089865,0.155399,601.063576,1575.207709
315,"[61, 65]",18.741302,2.027438,0.068162,0.005653,755.725674,1509.175478
